Year,Disaster Subtype,ISO,Location,Dis Mag Value,Latitude,Longitude,Local Time,date,End date,Total Deaths,Total Affected,Total Damages US$(2021)
1949,Ground movement,USA,"Puget Sound, Olympia (Washington state)",7.0,47.167,-122.617,12:55,1949-04-13,1949-04-13,8.0,,306809.0
1952,Ground movement,JPN,Hokkaido Isl.,8.0,42.084,143.899,10:22,1952-03-04,1952-03-04,33.0,200.0,
1952,Ground movement,USA,Kern county (California),8.0,34.958,-118.998,04:52,1952-07-21,1952-07-21,12.0,200.0,659756.0
1952,Ground movement,USA,"Bakersfield, Kern County (California)",6.0,35.333,-118.917,15:41,1952-08-22,1952-08-22,2.0,270.0,109959.0
1952,Tsunami,USA,Hawai,,,,,1952-11-04,1952-11-04,,,9896.0
1959,Ground movement,USA,Hebgen Lake (Montana),7.0,44.712,-111.215,23:37,1959-08-17,1959-08-17,28.0,,110436.0
1960,Tsunami,JPN,"Onagawa, Honshu Island",,,,,1960-05-22,1960-05-22,138.0,,1385348.0
1960,Tsunami,USA,Hawaii,10.0,,,,1960-05-23,1960-05-23,61.0,,5689823.0
1964,Tsunami,JPN,"Niigata, Hodo Isl.",7.0,38.67,139.195,13:01,1964-06-16,1964-06-16,25.0,35376.0,7548326.0
1964,Tsunami,USA,"Anchorage, Chitina, Glennallen, Homer, Hope, Kasilof, Kenai, Kodiak, Moose Pass, Portage, Seldovia, Seward, Sterling, Valdez, Wasilla, Whittier (Alaska)",9.0,60.908,-147.339,18:36,1964-03-27,1964-03-27,131.0,,2934412.0
1965,Ground movement,USA,Seattle (Washington),7.0,47.4,-122.3,07:28,1965-04-29,1965-04-29,7.0,,260069.0
1968,Ground movement,JPN,Aomori Prefecture - Hokkaido,7.0,40.5,140.43,,1968-05-17,1968-05-17,47.0,2781.0,1102188.0
1971,Ground movement,USA,San Fernando (Los Angeles),7.0,34.416,-118.37,06:00,1971-02-09,1971-02-09,65.0,2000.0,3996825.0
1974,Ground movement,JPN,"Izu-Hanto, Nakagi",7.0,34.522,138.74,08:33,1974-05-09,1974-05-09,30.0,73.0,
1978,Ground movement,JPN,"Oshima, Yokohama, Tokkaido",7.0,34.809,139.259,12:24,1978-01-14,1978-01-14,25.0,2016.0,
1978,Ground movement,JPN,Sendai (Near Esat coast of Honshu),8.0,38.19,142.028,17:14,1978-06-12,1978-06-12,28.0,2500.0,3880630.0
1979,Ground movement,COL,"Pasto, Buenaventura, Narino, Cauca provinces, Tumaco Isl.; Gorgona Isl.",8.0,1.598,-79.358,02:59,1979-12-12,1979-12-12,579.0,11042.0,32260.0
1979,Ground movement,COL,Manizales-Armenia area,7.0,4.805,-76.217,18:40,1979-11-23,1979-11-23,60.0,600.0,80649.0
1981,Ground movement,COL,Colombia/Venezuela border,5.0,8.117,-72.527,23:31,1981-10-18,1981-10-18,10.0,,16093.0
1983,Ground movement,COL,Popayan city (Cauca department),5.0,2.461,-76.686,08:12,1983-03-31,1983-03-31,250.0,36200.0,1207348.0
1980,Ground movement,JPN,"Tokyo, Kanto region",6.0,35.45,139.964,02:54,1980-09-25,1980-09-25,2.0,73.0,3551.0
1982,Ground movement,JPN,"Hokkaido, Urakawa, Hiroo",7.0,42.158,142.361,11:32,1982-03-21,1982-03-21,110.0,1100.0,3033.0
1983,Ground movement,JPN,Near South coast Honshu,5.0,35.5,139.07,12:47,1983-08-08,1983-08-08,1.0,28.0,
1983,Tsunami,JPN,"Nihon- Kai-Chubu, Western Honshu, Akita, Aomori, Hokkaido",8.0,40.462,139.102,11:59,1983-05-26,1983-05-26,102.0,77.0,1222334.0
1984,Ground movement,JPN,"Honshu, Nagano prefecture (Honshu)",7.0,36.39 N,138.10 E,,1984-09-14,1984-09-14,20.0,,121137.0
